address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode,Cats_Allowed,Elevator,No_Fee,Dogs_Allowed,Laundry_In_Building,Doorman,Gym,Dishwasher,Hardwood_Floors,Renovated,Common_Outdoor_Space,High_Ceilings,Laundry_In_Unit,Granite_Kitchen,Marble_Bath,Parking,Pre_War,Valet,Eat_In_Kitchen,Walk_In_Closet,Deck,Lounge,Concierge,Storage_Facility,High_Speed_Internet,Studio,Brooklyn,Manhattan,Queens
540 West 47th Street,1.0,1,Manhattan,"['No Fee', 'Cats Allowed']",0.47,Hell's Kitchen,2250,0,93707.0,19.8,10036.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
455 W 37th St.,1.5,2,Manhattan,"['Laundry In Building', 'Hardwood Floors', 'Open View', 'Granite Kitchen', 'Diplomats Ok', 'Cats Allowed', 'Doorman', 'City View', 'Valet', 'Dogs Allowed', 'Dishwasher', 'Deck', 'No Fee', 'Elevator', 'Bicycle Room', 'Marble Bath', 'Renovated', 'Gym', 'Parking']",0.27,Hell's Kitchen,4250,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
455 W 37th St.,1.0,3,Manhattan,"['Laundry In Building', 'Hardwood Floors', 'Open View', 'Granite Kitchen', 'Diplomats Ok', 'Cats Allowed', 'Doorman', 'City View', 'Valet', 'Dogs Allowed', 'Dishwasher', 'Deck', 'Common Outdoor Space', 'No Fee', 'Elevator', 'Bicycle Room', 'Marble Bath', 'Renovated', 'Gym', 'Parking']",0.27,Hell's Kitchen,4250,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
West 42nd Street,1.0,1,Manhattan,"['Laundry In Building', 'Lounge', 'High Ceilings', 'Hardwood Floors', 'Open View', 'Swimming Pool', 'Granite Kitchen', 'Laundry In Unit', 'Storage', 'Balcony', 'Doorman', 'Outdoor Space', 'City View', 'Valet', 'Dishwasher', 'New Construction', 'Deck', 'Common Outdoor Space', 'Concierge', 'No Fee', 'Elevator', 'Bicycle Room', 'Marble Bath', 'River View', 'Renovated', 'Walk In Closet', 'Gym', 'Parking']",0.42,Hell's Kitchen,2900,0,93707.0,19.8,10036.0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
West 42nd Street,1.0,1,Manhattan,"['Laundry In Building', 'Lounge', 'High Ceilings', 'Hardwood Floors', 'Open View', 'Swimming Pool', 'Granite Kitchen', 'Laundry In Unit', 'Storage', 'Balcony', 'Doorman', 'Outdoor Space', 'City View', 'Valet', 'Dishwasher', 'New Construction', 'Deck', 'Common Outdoor Space', 'Concierge', 'No Fee', 'Elevator', 'Bicycle Room', 'Marble Bath', 'River View', 'Renovated', 'Walk In Closet', 'Gym', 'Parking']",0.42,Hell's Kitchen,2900,0,93707.0,19.8,10036.0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
W 42nd St,1.0,3,Manhattan,"['No Fee', 'Laundry In Building', 'Lounge', 'Gym', 'Verizon Fios Enabled', 'Bike Storage', 'Pool', 'Community Wifi', 'Roof Deck', 'Package Acceptance', 'Parking']",0.41,Hell's Kitchen,5000,0,93707.0,19.8,10036.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
625 West 57th St,1.0,1,Manhattan,"['Elevator', 'Sun Drenched', 'Sublet', 'Furnished', 'Dogs Allowed', 'Cats Allowed', 'Doorman', 'Common Outdoor Space', 'Spacious', 'By Owner', 'Laundry In Unit', 'Private Outdoor Space', 'Gym']",0.55,Hell's Kitchen,4395,0,93707.0,19.8,10036.0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
625 West 57th St,1.0,1,Manhattan,"['Elevator', 'Sun Drenched', 'Sublet', 'Furnished', 'Dogs Allowed', 'Cats Allowed', 'Doorman', 'Common Outdoor Space', 'Spacious', 'By Owner', 'Laundry In Unit', 'Private Outdoor Space', 'Gym']",0.55,Hell's Kitchen,4395,0,93707.0,19.8,10036.0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
West 40's,2.0,2,Manhattan,"['Laundry In Building', 'High Ceilings', 'Hardwood Floors', 'Open View', 'Granite Kitchen', 'Storage Facility', 'Cats Allowed', 'Doorman', 'Outdoor Space', 'City View', 'Dogs Allowed', 'Dishwasher', 'Common Outdoor Space', 'No Fee', 'Elevator', 'Walk In Closet', 'Gym', 'Parking']",0.12,Hell's Kitchen,4600,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
West 50's,1.0,1,Manhattan,"['No Fee', 'Elevator', 'Laundry In Building', 'Storage Facility', 'Cats Allowed\n \n\nDogs Allowed', 'Doorman', 'Common Outdoor Space', 'Laundry In Unit', 'Gym']",0.32,Hell's Kitchen,3400,0,93707.0,19.8,10036.0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,1.0,1,Manhattan,['No Fee'],0.22,Hell's Kitchen,2595,0,93707.0,19.8,10036.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
West 57th st,1.0,1,Manhattan,"['No Fee', 'Elevator', 'Laundry In Building', 'Dogs Allowed', 'Reduced Fee', 'Cats Allowed', 'Doorman', 'Common Outdoor Space', 'Laundry In Unit', 'Gym']",0.48,Hell's Kitchen,2995,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1.0,1,Manhattan,['No Fee'],0.22,Hell's Kitchen,2595,0,93707.0,19.8,10036.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
West 57th st,1.0,1,Manhattan,"['No Fee', 'Elevator', 'Laundry In Building', 'Dogs Allowed', 'Reduced Fee', 'Cats Allowed', 'Doorman', 'Common Outdoor Space', 'Laundry In Unit', 'Gym']",0.48,Hell's Kitchen,2995,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,1.0,1,Manhattan,['No Fee'],0.22,Hell's Kitchen,2595,0,93707.0,19.8,10036.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
