address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode
Gold St.,1.0,3Flex 4 ,Manhattan,"['Laundry in Unit', 'Dining Room', 'Laundry In Building', 'Renovated', 'Convertible', 'Walk In Closet', 'Laundry In Unit', 'Eat In Kitchen', 'Doorman', 'City View', 'No Fee', 'Elevator', 'Receiving Room', 'Light', 'Hardwood Floors', 'Balcony', 'Subway']",0.05,Financial District,4500,0,154213.0,37.5,10005.0
WATER STREET LUXURY,1.0,1,Manhattan,"['Storage Facility', 'Cats Allowed', 'Fitness Center', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.18,Financial District,3100,0,154213.0,37.5,10005.0
88 Fulton St.,1.0,Studio,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'No Fee']",0.05,Financial District,2500,0,154213.0,37.5,10005.0
William Street,1.0,1,Manhattan,"['Cats Allowed', 'High Ceilings', 'Dogs Allowed', 'Fitness Center', 'Doorman', 'Hardwood floors', 'Dishwasher', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Hardwood Floors', 'Laundry In Building', 'Sunny']",0.08,Financial District,3800,0,154213.0,37.5,10005.0
116 John St.,2.0,2,Manhattan,"['New Construction', 'Light', 'Common Outdoor Space', 'Diplomats Ok', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Doorman', 'Storage', 'Marble Bath', 'Lounge', 'Elevator', 'Subway', 'Wheelchair Access', 'Fitness Center', 'Concierge', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Valet', 'High Speed Internet', 'Exclusive']",0.14,Financial District,4700,0,154213.0,37.5,10005.0
Wall Street & Water Street,1.0,3,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Fitness Center', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.16,Financial District,3698,0,154213.0,37.5,10005.0
John Street,2.5,3,Manhattan,"['Dining Room', 'Cats Allowed', 'Courtyard', 'Walk In Closet', 'Outdoor Space', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Live In Super', 'Lounge', 'Balcony', 'Microwave', 'Subway', 'Maid Service', 'Garage', 'Fitness Center', 'Laundry In Unit', 'Concierge', 'No Fee', 'Deck', 'Laundry in Unit', 'Valet', 'Open Kitchen', 'Eat In Kitchen', 'Children Playroom', 'High Speed Internet', 'Hardwood Floors', 'City View']",0.06,Financial District,9500,0,154213.0,37.5,10005.0
Wall Street,1.0,Studio,Manhattan,"['Cats Allowed', 'Featured', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Laundry In Building']",0.06,Financial District,2929,0,154213.0,37.5,10005.0
William Street ,1.0,2,Manhattan,"['Storage Facility', 'Cats Allowed', 'TErrace', 'Private Outdoor Space', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.04,Financial District,4335,0,154213.0,37.5,10005.0
Gold Street,1.0,2Flex 3 ,Manhattan,"['Dining Room', 'Cats Allowed', 'Convertible', 'Walk In Closet', 'Laundry In Building', 'Dogs Allowed', 'Doorman', 'Elevator', 'Subway', 'Pre-war', 'Laundry In Unit', 'No Fee', 'Pre-War', 'Laundry in Unit', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.05,Financial District,2500,0,154213.0,37.5,10005.0
John Street,1.0,Studio,Manhattan,"['New Construction', 'Dining Room', 'Original Details', 'Cats Allowed', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Diplomats Ok', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Wheelchair Access', 'Maid Service', 'Freight Elevator', 'Garage', 'Loft', 'Fitness Center', 'Pre-war', 'Laundry In Unit', 'Open View', 'Concierge', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Pre-War', 'Laundry in Unit', 'Valet', 'Eat In Kitchen', 'High Speed Internet', 'Hardwood Floors']",0.09,Financial District,3195,750,154213.0,37.5,10005.0
Liberty Street,1.0,1Flex 2 ,Manhattan,"['Cats Allowed', 'Featured', 'Convertible', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Storage Facility', 'Elevator', 'Fitness Center', 'Laundry In Unit', 'Pre-war', 'No Fee', 'Floorplans Available', 'Pre-War', 'Laundry in Unit', 'Subway', 'Hardwood Floors', 'City View']",0.05,Financial District,3895,0,154213.0,37.5,10005.0
Wall Street,1.0,Studio,Manhattan,"['Terrace', 'Cats Allowed', 'On-site super', 'Outdoor Space', 'Dishwasher', 'Common Outdoor Space', 'Laundry Room', 'Laundry In Building', 'Dogs Allowed', 'Doorman', 'Storage Facility', 'Elevator', 'Storage Room', 'Garage', 'Luxury Highrise', 'Flex Bedroom', 'Fitness Center', 'Gym', 'Extra Room', 'No Fee', 'Playroom/Nursery', 'Parking']",0.06,Financial District,2850,0,154213.0,37.5,10005.0
Park Row,1.0,Studio ,Manhattan,"['Pre-War', 'Cats Allowed', 'Granite Kitchen', 'Valet', 'Dogs Allowed', 'Pre-war', 'Doorman', 'Dishwasher', 'Light', 'Diplomats Ok', 'Marble Bath', 'No Fee', 'Elevator', 'High Speed Internet', 'Hardwood Floors', 'Laundry In Building', 'Subway']",0.07,Financial District,2750,505,154213.0,37.5,10005.0
Washington Street,1.0,2,Manhattan,['No Fee'],0.11,Financial District,3450,0,154213.0,37.5,10005.0
17 Battery Place,1.0,3,Manhattan,"['Cats Allowed', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Subway', 'Wheelchair Access', 'Fitness Center', 'Concierge', 'No Fee', 'Receiving Room', 'Deck', 'Valet', 'Renovated', 'High Speed Internet', 'Hardwood Floors']",0.1,Financial District,4200,0,154213.0,37.5,10005.0
Spruce St,1.0,1,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Swimming Pool', 'Dogs Allowed', 'Doorman', 'Floorplans Available', 'Elevator']",0.1,Financial District,3815,0,154213.0,37.5,10005.0
West Street & Battery Place,1.0,Studio,Manhattan,"['Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.12,Financial District,2704,0,154213.0,37.5,10005.0
West Street,3.0,3,Manhattan,"['Storage Facility', 'Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.11,Financial District,11000,0,154213.0,37.5,10005.0
95 Wall Street,1.0,Studio,Manhattan,"['Cats Allowed', 'Walk In Closet', 'Common Outdoor Space', 'Laundry In Building', 'Stainless Steel Appliances', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Lounge', 'Elevator', 'Subway', 'Bicycle Room', 'Garage', 'Fitness Center', 'Pre-war', 'Laundry In Unit', 'No Fee', 'Floorplans Available', 'Deck', 'Receiving Room', 'Pre-War', 'Laundry in Unit', 'Valet', 'Eat In Kitchen', 'High Speed Internet', 'Hardwood Floors', 'Exclusive']",0.17,Financial District,2974,480,154213.0,37.5,10005.0
Wall Street,1.0,Studio,Manhattan,"['Storage Facility', 'Cats Allowed', 'Featured', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.05,Financial District,3095,0,154213.0,37.5,10005.0
Liberty St,1.0,1,Manhattan,"['Cats Allowed', 'Swimming Pool', 'Dogs Allowed', 'Doorman', 'Floorplans Available', 'Elevator']",0.07,Financial District,4095,0,154213.0,37.5,10005.0
Wall Street,1.0,1,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Featured', 'Fitness Center', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.08,Financial District,2745,415,154213.0,37.5,10005.0
Liberty St,1.0,1,Manhattan,"['Cats Allowed', 'Swimming Pool', 'Dogs Allowed', 'Doorman', 'Floorplans Available', 'Elevator']",0.07,Financial District,4095,0,154213.0,37.5,10005.0
Exchange Place,1.0,1Flex 2 ,Manhattan,"['Dining Room', 'Cats Allowed', 'Convertible', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Storage Facility', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Wheelchair Access', 'Garage', 'Fitness Center', 'Pre-war', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Pre-War', 'Eat In Kitchen', 'Renovated', 'High Speed Internet', 'Hardwood Floors']",0.1,Financial District,3400,0,154213.0,37.5,10005.0
Washington Street,1.0,2,Manhattan,"['Renovated', 'Lounge', 'Garage', 'High Ceilings', 'Valet', 'Furnished', 'Vacation Rental', 'Doorman', 'Concierge', 'Storage', 'Dishwasher', 'Light', 'No Fee', 'Elevator', 'Deck', 'High Speed Internet', 'Hardwood Floors', 'Laundry In Building']",0.07,Financial District,3200,0,154213.0,37.5,10005.0
Exchange Place,1.0,Studio,Manhattan,"['Cats Allowed', 'High Speed Internet', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Wheelchair Access', 'Garage', 'Fitness Center', 'Pre-war', ' Dishwasher', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Pre-War', 'Renovated', 'Light', 'Hardwood Floors']",0.1,Financial District,2495,500,154213.0,37.5,10005.0
Washington Street,1.0,Studio,Manhattan,"['Cats Allowed', 'Featured', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Laundry In Building']",0.07,Financial District,2769,0,154213.0,37.5,10005.0
Broadway,1.0,1,Manhattan,"['Pre-War', 'Cats Allowed', 'Dogs Allowed', 'Doorman', 'Outdoor Space', 'Elevator']",0.02,Financial District,3700,656,154213.0,37.5,10005.0
Front Street,2.0,2Flex 3 ,Manhattan,"['Dining Room', 'Cats Allowed', 'Garden/patio', 'Convertible', 'Outdoor Space', 'Dishwasher', 'Duplex', 'Granite Kitchen', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Marble Bath', 'Elevator', 'Pre-war', 'Laundry In Unit', 'No Fee', 'Pre-War', 'Laundry in Unit', 'Eat In Kitchen', 'Light', 'Hardwood Floors']",0.28,Financial District,5500,0,154213.0,37.5,10005.0
Hanover Square & Pearl Street,1.0,3,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Parking Space', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'Fitness Center', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.15,Financial District,3596,0,154213.0,37.5,10005.0
Spruce Street,2.0,2,Manhattan,"['New Construction', 'Cats Allowed', 'Walk In Closet', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Diplomats Ok', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Nursery', 'Storage', 'Marble Bath', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Wheelchair Access', 'Garage', 'Swimming Pool', 'Fitness Center', 'Laundry In Unit', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Laundry in Unit', 'Valet', 'High Speed Internet', 'Hardwood Floors']",0.1,Financial District,6460,0,154213.0,37.5,10005.0
Spruce Street,2.5,2,Manhattan,"['New Construction', 'Dining Room', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Doorman', 'Nursery', 'Storage', 'Marble Bath', 'Elevator', 'Lounge', 'River View', 'Loft', 'Swimming Pool', 'Fitness Center', 'Laundry In Unit', 'Open View', 'Concierge', 'No Fee', 'Deck', 'Laundry in Unit', 'Valet', 'Park View', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.11,Financial District,8000,0,154213.0,37.5,10005.0
Financial district / wall stre...,2.0,2,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Parking Space', 'Laundry In Unit', 'Fitness Center', 'Doorman', 'Dogs Allowed', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.1,Financial District,6300,0,154213.0,37.5,10005.0
Exchange Place,1.0,1,Manhattan,"['Dishwasher', 'High Speed Internet', 'Common Outdoor Space', 'Laundry In Building', 'Stainless Steel Appliances', 'High Ceilings', 'Doorman', 'Marble Bath', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Wheelchair Access', 'Garage', 'Fitness Center', 'Pre-war', 'No Fee', 'Floorplans Available', 'Deck', 'Receiving Room', 'Business Center', 'Pre-War', 'Renovated', 'Light', 'Hardwood Floors']",0.09,Financial District,3845,0,154213.0,37.5,10005.0
John Street,1.0,1,Manhattan,"['Storage Facility', 'Cats Allowed', ' Doorman', 'Featured', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.14,Financial District,3204,593,154213.0,37.5,10005.0
Front Street,1.0,2,Manhattan,"['Terrace', 'Dining Room', 'Cats Allowed', 'Garden/patio', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Elevator', 'Microwave', 'Subway', 'River View', 'Fitness Center', 'Pre-war', 'Concierge', 'No Fee', 'Deck', 'Pre-War', 'Open Kitchen', 'Eat In Kitchen', 'High Speed Internet', 'Hardwood Floors', 'City View']",0.3,Financial District,3400,0,154213.0,37.5,10005.0
Front Street,1.0,2,Manhattan,"['Terrace', 'Dining Room', 'Cats Allowed', 'Garden/patio', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Elevator', 'Microwave', 'Subway', 'River View', 'Fitness Center', 'Pre-war', 'Concierge', 'No Fee', 'Deck', 'Pre-War', 'Open Kitchen', 'Eat In Kitchen', 'High Speed Internet', 'Hardwood Floors', 'City View']",0.3,Financial District,3400,0,154213.0,37.5,10005.0
John St,1.0,Studio,Manhattan,"['Verizon Fios Enabled', 'Community Wifi', 'Package Acceptance', 'Garage', 'Prewar', 'Roof Deck', 'Gym', 'No Fee', 'Floorplans Available', 'Lounge', 'Laundry In Building']",0.09,Financial District,2724,0,154213.0,37.5,10005.0
exchange pl & william,1.0,4,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Doorman', 'No Fee', 'Elevator', 'Laundry In Building']",0.09,Financial District,5050,0,154213.0,37.5,10005.0
John St,1.0,Studio,Manhattan,"['Verizon Fios Enabled', 'Community Wifi', 'Package Acceptance', 'Garage', 'Prewar', 'Roof Deck', 'Gym', 'No Fee', 'Floorplans Available', 'Lounge', 'Laundry In Building']",0.09,Financial District,2724,0,154213.0,37.5,10005.0
exchange pl & william,1.0,4,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Doorman', 'No Fee', 'Elevator', 'Laundry In Building']",0.09,Financial District,5050,0,154213.0,37.5,10005.0
Wall Street,1.0,2,Manhattan,"['Dining Room', 'Cats Allowed', 'Featured', 'Walk In Closet', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Garage', 'Loft', 'Fitness Center', 'Open View', 'No Fee', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.05,Financial District,3650,0,154213.0,37.5,10005.0
Wall Street,1.0,2,Manhattan,"['Dining Room', 'Cats Allowed', 'Featured', 'Walk In Closet', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Garage', 'Loft', 'Fitness Center', 'Open View', 'No Fee', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.05,Financial District,3650,0,154213.0,37.5,10005.0
Exchange Place,1.0,2,Manhattan,"['Storage Facility', 'Cats Allowed', 'Lounge', 'Wrap around Terrace', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'Concierge', 'Housekeeping and Dry Cleaning Servicesc', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building', 'Bike Room']",0.1,Financial District,4695,0,154213.0,37.5,10005.0
Water Street,1.0,1Flex 2 ,Manhattan,"['Dining Room', 'Cats Allowed', 'Convertible', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Storage Facility', 'Elevator', 'Lounge', 'Private Deck', 'Subway', 'Wheelchair Access', 'Fitness Center', 'Pre-war', 'No Fee', 'Deck', 'Pre-War', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors']",0.17,Financial District,3895,0,154213.0,37.5,10005.0
 Wall Street,1.0,1,Manhattan,"['Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.08,Financial District,3401,0,154213.0,37.5,10005.0
Water Street,1.0,StudioFlex 1 ,Manhattan,"['Cats Allowed', 'Featured', 'Convertible', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Diplomats Ok', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'River View', 'Wheelchair Access', 'Swimming Pool', 'Fitness Center', 'Laundry In Unit', 'Concierge', 'No Fee', 'Floorplans Available', 'Deck', 'Business Center', 'Laundry in Unit', 'Valet', 'Renovated', 'High Speed Internet', 'Hardwood Floors']",0.17,Financial District,2590,0,154213.0,37.5,10005.0
Front Street,1.0,Studio,Manhattan,"['Terrace', 'Cats Allowed', 'Garden/patio', 'Outdoor Space', 'Dishwasher', 'Light', 'Laundry In Building', 'Granite Kitchen', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Private Deck', 'Balcony', 'Microwave', 'Subway', 'Fitness Center', 'Open View', 'Concierge', 'No Fee', 'Floorplans Available', 'Deck', 'Valet', 'Open Kitchen', 'Renovated', 'High Speed Internet', 'Hardwood Floors']",0.3,Financial District,2450,0,154213.0,37.5,10005.0
30 West St,4.0,4,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'Doorman', 'Floorplans Available', 'Elevator', 'Exclusive']",0.14,Financial District,13975,0,154213.0,37.5,10005.0
Wall St,1.0,1,Manhattan,"['Pre-War', 'Laundry in Unit', 'Furnished\n \n\nPre-War', 'Doorman', 'Outdoor Space', 'Elevator']",0.09,Financial District,4300,566,154213.0,37.5,10005.0
Front Street - Seaport,1.0,1,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Unit', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space']",0.25,Financial District,4250,0,154213.0,37.5,10005.0
Water St,1.0,1,Manhattan,"['Doorman', 'Elevator']",0.18,Financial District,4038,0,154213.0,37.5,10005.0
Financial district ,1.0,1,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Parking Space', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'Fitness Center', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.03,Financial District,3745,0,154213.0,37.5,10005.0
Wall Street,1.0,1,Manhattan,"['Storage Facility', 'Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.07,Financial District,3240,0,154213.0,37.5,10005.0
Financial district ,1.0,1,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Parking Space', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'Fitness Center', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.03,Financial District,3745,0,154213.0,37.5,10005.0
West Street,1.0,1,Manhattan,"['Cats Allowed', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Lounge', 'Elevator', 'Subway', 'Garage', 'Fitness Center', 'Pre-war', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Pre-War', 'Valet', 'Light']",0.12,Financial District,3200,0,154213.0,37.5,10005.0
West Street,1.0,Studio,Manhattan,"['Cats Allowed', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'High Speed Internet', 'Diplomats Ok', 'Laundry In Building', ' Hardwood Floors', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Lounge', 'Subway', 'Garage', 'Fitness Center', 'Pre-war', 'Concierge', 'No Fee', 'Pre-War', 'Valet', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors']",0.18,Financial District,2595,0,154213.0,37.5,10005.0
West Street,2.0,3Flex 4 ,Manhattan,"['Dining Room', 'Cats Allowed', 'Convertible', 'Walk In Closet', 'Dishwasher', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'River View', 'Garage', 'Pre-war', 'Laundry In Unit', 'No Fee', 'Deck', 'Pre-War', 'Laundry in Unit', 'Valet', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.12,Financial District,5550,0,154213.0,37.5,10005.0
Front St,2.0,2,Manhattan,"['Pre-War', 'Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Elevator']",0.28,Financial District,5800,0,154213.0,37.5,10005.0
West Street,1.0,Studio,Manhattan,"['Storage Facility', 'Cats Allowed', 'Reduced Fee', 'Parking Space', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.11,Financial District,3185,0,154213.0,37.5,10005.0
116 John Street,1.0,Studio,Manhattan,"['Cats Allowed', 'Dishwasher', 'High Speed Internet', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Storage', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Wheelchair Access', 'Fitness Center', 'Pre-war', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Pre-War', 'Valet', 'Eat In Kitchen', 'Renovated', 'Light', 'Exclusive']",0.14,Financial District,2595,0,154213.0,37.5,10005.0
37 Wall,2.0,3,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Fitness Center', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.05,Financial District,6095,0,154213.0,37.5,10005.0
West Street,1.0,Studio,Manhattan,"['Storage Facility', 'Cats Allowed', 'Reduced Fee', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.17,Financial District,3042,0,154213.0,37.5,10005.0
Wall Street,1.0,2,Manhattan,"['Storage Facility', 'Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.07,Financial District,3401,0,154213.0,37.5,10005.0
15 Park Row,2.0,2,Manhattan,"['Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Laundry In Building', 'Exclusive']",0.06,Financial District,4125,0,154213.0,37.5,10005.0
West Street,1.0,3,Manhattan,"['Storage Facility', 'Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.11,Financial District,4061,754,154213.0,37.5,10005.0
Park Row,1.0,Studio,Manhattan,"['Dining Room', 'Cats Allowed', 'Dishwasher', 'High Speed Internet', 'Diplomats Ok', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Subway', 'Pre-war', 'Open View', 'Concierge', 'No Fee', 'Floorplans Available', 'Pre-War', 'Valet', 'Eat In Kitchen', 'Light', 'Hardwood Floors']",0.06,Financial District,2750,580,154213.0,37.5,10005.0
Water street,2.0,4,Manhattan,"['Storage Facility', 'Cats Allowed', 'Featured', ' Doorman', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.2,Financial District,5555,0,154213.0,37.5,10005.0
 Washington Street,1.0,Studio,Manhattan,"['Cats Allowed', 'Featured', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.07,Financial District,2786,0,154213.0,37.5,10005.0
John Street,1.0,Studio,Manhattan,"['Terrace', 'Dining Room', 'Cats Allowed', 'Courtyard', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Storage', 'Elevator', 'Live In Super', 'Lounge', 'Balcony', 'Microwave', 'Subway', 'Maid Service', 'Garage', 'Fitness Center', 'Laundry In Unit', 'Concierge', 'No Fee', 'Deck', 'Laundry in Unit', 'One Month Free\n \n\nStainless Steel Appliances', 'Valet', 'Children Playroom', 'High Speed Internet', 'Hardwood Floors']",0.06,Financial District,2650,0,154213.0,37.5,10005.0
Gold Street,1.0,1Flex 2 ,Manhattan,"['New Construction', 'Cats Allowed', 'Convertible', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'Stainless Steel Appliances', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Nursery', 'Marble Bath', 'Storage Facility', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Wheelchair Access', 'Garage', 'Swimming Pool', 'Fitness Center', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Valet', 'High Speed Internet', 'Hardwood Floors']",0.12,Financial District,4050,0,154213.0,37.5,10005.0
