amenity,count,replace_value
All Utilities Included,4,
Washer-dryer-hookup,4,
"Garage
 
Granite Kitchen",4,
Diplomats OK,4,
Landscaped Roof Deck,4,
Party Room,4,
Outdoor Deck,4,
2 Bathrooms,4,
"Marble Bath
 
Renovated",4,
Small Dogs Cats Allowed,4,
Pets Case By Case,4,
Security,4,
 Common Outdoor Space,4,
2 Balconies,4,
"Elevator
 
Fitness Center",4,"Elevator, Gym"
Private Garage,4,
Lounge with Billiards,4,
ATM in building,4,
Fios Gigabit Connection,4,
COMMON ROOF DECK,4,
BICYCLE ROOM,4,
MICROWAVE,4,
STORAGE,4,
CONCIERGE,4,
COMMON OUTDOOR SPACE,4,
LOUNGE,4,
Rooftop Lounge,4,
 Renovated,4,
Renovated- Bright- Hardwood floor- High ceiling- Close to transportation,4,
No fee,4,
Available immediately,4,
BROWNSTONE,4,
"Fitness Center
 
Laundry In Building",4,"Fitness Center, Laundry In Building"
parking,4,
Storage Available,4,
Renovated Bathroom,4,
Ss Appliances,4,
Huge,4,
Private On-site Storage Bins,4,
1 year lease,4,
Washer/Dryer,4,
Marb Bth,4,
Luxury,4,
Pied-a-terre Allowed,4,
bike storage,4,
skyline view,4,
natural light in living area,4,
Skyline view,4,
pet-free building,4,
Fios enabled,4,
on-site super,4,
 High Ceilings,4,
Building: On Site Laundry,4,Laundry In Building
Music Room,4,
Theater,4,
brand new renovations,3,
Heat/Hot Water Included,3,
Central AC,3,
Playroom,3,
Steam Room,3,
Cabanas,3,
Southeast Exposure,3,
24-Hour Doorman,3,
Floor to Ceiling Windows,3,
SpaceLandscaped Roof Deck,3,
Atm in Building,3,
Water Feature,3,
"Light
 
Marble Bath",3,
Private Balcony,3,
Wine Cellar,3,
Exercise Studio,3,
"No Fee
 
Laundry In Unit",3,"No Fee, Laundry In Unit"
"Receiving Room
 
Renovated",3,Receiving Room
Atm Machine,3,
And Hardwood Floors,3,
All Units Have: Washer/dryer,3,
 Open View,3,
Private roof deck,3,
WiFi Access,3,
RENO,3,
SUNNY,3,
Floor-to-ceiling Windows,3,
Showers,3,
Service Elevator,3,Elevator
Delivery Escort,3,
 Concierge,3,
2 Closets,3,
Den,3,
Dining Alcove,3,
Flex,3,
Sunlit Exposures,3,
Breakfast Area,3,
Yoga,3,
"No Fee
 
Doorman",3,
fitness center,3,
Solarium,3,
"Storage
 
Subway",3,
private laundry on every floor,3,Laundry In Building
"Bicycle Room
 
Business Center",3,
High ceilings,3,
"Dogs Allowed
 
Doorman",3,
