amenity,count,replace_value
Separate Eat in Kitchen,1,
Windowed Bathroom,1,
Out-of-State Guarantors OK!,1,
Building-common-outdoor-space,1,
Walk In Closet(s),1,
Private-outdoor-space,1,
2br ‰ÛÒ Gran Kitch,1,
Pets Allowed Case by Case,1,
Dish Washer,1,
Walk-In Closets,1,
Dishwasher Large Closets,1,
two full bathrooms,1,
"Outdoor Space
 
City View",1,
Huge Storage lofts,1,
Parlor Floor,1,
"Laundry In Building
 
Cats Allowed",1,"Laundry In Building, Cats Allowed"
Part time doorman,1,
Virtual Doorman*,1,
bay windows,1,
private backyard,1,
Live-in-Super,1,
garden apartment,1,
Dinning room,1,
Duple,1,
southern exposure,1,
Quartz Counter Tops,1,
1.5 Bedroom,1,
Near Prospect Park,1,
Large,1,
Heat and Hot Water included,1,
Trash Compactor,1,
Street Parking,1,
"Private Outdoor Space
 
Cats Allowed",1,
Full Service Equinox Fitness Club,1,
Property Manager,1,
Assouline Culture Lounge,1,
Upgraded Finishes; Thoughtfully Designed Studio,1,
Bicycle Room; Fitness Room; Basketball Court; Nursery; Lounge; Billiards Room; Party Room; Rooftop Deck; Private Storage; En Suite Bathroom with Stall Shower; Penthouse.,1,
Digital TV,1,
Bicycle Room; Fitness Room; Basketball Court; Nursery; Lounge; Billiards Room; Party Room; Rooftop Deck; Private Storage; En Suite Bathroom with Stall Shower; Split Bedroom; Walk-in Closet,1,
 Pre-war,1,
train 1 A C,1,
few blocks from columbis university hospital,1,
TRAIN 1,1,
NEED GOOD CREDIT AND INCOME ON BOOK,1,
C,1,
A,1,
NEXT TO COLOMBIA UNIVERSITY HOSPITAL,1,
 Garden/patio,1,
Huge Apartment,1,
GREAT SIZE __TRUE 3 BEDROOMS___EXCELLENT LOCATION EAST 21 ST & 2 AVE,1,
Bright-Hardwood floor- High ceiling- Close to transportation,1,
Granite kitchen,1,
 X-brick,1,
Wide-plank Hrdwd Flrs,1,
olympic sized pool!,1,
"Dogs Allowed
 
Dining Room",1,
"Valet
 
Walk In Closet",1,
Hrdwd Flr,1,
"Garden/patio
 
Terrace",1,
 Brownstone,1,
Patio/Deck,1,
Central AC & Heating,1,
4 weeks Free Rent,1,
High Ceilings Hardwood floors Central A/C Video Intercom Outdoor Space Roof access Built in microwave Stainless Steel Appliances Dishwasher Stone countertops Hardwood Floors Laundry in building Lounge Bike storage Gym,1,"High Ceilings, Hardwood floors, A/C, Video Intercom, Outdoor Space, Roof Access, Built In Microwave, Stainless Steel Appliances, Dishwasher, Stone Countertops, Hardwood Floors, Laundry In Building, Lounge, Bike Storage, Gym"
Video Buzzer,1,
Lots Of Sunlight,1,
Washer dryer installed,1,
Private backyard,1,
Outdoor Space Common courtyard Balcony Central A/C Natural Light in Living Area Laundry in building Video Intercom Balcony Bike storage Gym Game room Lounge Skyline view Stone countertops Dishwasher Roof access,1,"Outdoor Space, Common Courtyard, Balcony, A/C, Laundry In Building, Video Intercom, Bike Storage, Gym, Game Room, Lounge, Skyline View, Stone countertops, Dishwasher, Roof Access"
No Fee Featured Exclusive Private Outdoor Space Parking Space Doorman Elevator Fitness Center Laundry In Building Common Outdoor Space Cats Allowed Dogs Allowed Gym,1,"No Fee, Featured Exclusive, Private Outdoor Space, Parking Space, Doorman, Elevator, Laundry In Building, Common Outdoor Space, Cats Allowed, Dogs Allowed, Gym"
Private Rooftop Terrace,1,
Top floor duplex,1,
Modern appliances,1,
Modern Appliances,1,
No Broker Fee,1,
Ceilings Hardwood floors Central A/C Video Intercom Washer dryer hookup Eat In Kitchen Stainless Steel Appliances Dishwasher Built in microwave Stone countertops Outdoor Space Private backyard Exposed Brick Hardwood Floors Natural Light in Living Area Laundry in building Gym,1,"Ceilings, Hardwood Floors, A/C, Video Intercom, Eat In Kitchen, Stainless Steel Appliances, Dishwasher, Built In Microwave, Stone Countertops, Outdoor Space, Private Backyard, Exposed Brick, Hardwood Floors, Natural Light in Living Area, Laundry In Building Gym"
backyard,1,
1.5 bath,1,
Wheelchair Accessible,1,
Waterfront view from roof,1,
stone countertops,1,
Available asap,1,
ROOM for rent,1,
Natural Light in Living,1,
Duplex High Ceilings Hardwood floors Laundry in building Video Intercom Stainless Steel Appliances Built in microwave Granite countertops Roof access,1,"Duplex, High Ceilings, Hardwood Floors, Laundry In Building, Video Intercom, Stainless Steel Appliances, Built In Microwave, Granite Countertops, Roof Access"
Heat and Hot Water Included,1,
Pets allowed with deposit,1,
bay window,1,
extra storage lockers,1,
central A/C,1,
a microwave,1,
kitchen island,1,
High Ceilings Hardwood Floors Video Intercom Natural Light in Living Area Outdoor Space Private backyard Stainless Steel Appliances Duplex Basement Roof access Laundry in building Exposed Brick,1,"High Ceilings, Hardwood Floors, Video Intercom, Outdoor Space, Private Backyard, Stainless Steel Appliances, Duplex Basement, Roof Access, Laundry In Building, Exposed Brick"
Heat and Hot water included,1,
"Renovated
 
Cats Allowed",1,
"No Fee
 
Exclusive",1,
NO Fee,1,
new renovation,1,
Recess Lighting,1,
Over-sized Windows,1,
Central A/C Unit,1,
central air conditioning,1,
business center,1,
built-in microwave,1,
Pet spa,1,
"Hardwood Floors
 
Granite Kitchen",1,
"Hardwood Floors
 
New Construction",1,
super on block,1,
Renovated- Bright- Hardwood floor- Stainless Steel Appliances-,1,
"Renovated
 
Storage",1,
Private Keyed Elevator,1,Elevator
Large Open-Concept Living and Dining room,1,
Private Landscaped Roof Deck with Full Outdoor Kitchen,1,
Bright,1,
Diswasher,1,
"Featured
 
Cats Allowed",1,Cats Allowed
"Floorplans Available
 
Fireplace",1,
"Convertible
 
Diplomats Ok",1,
"Elevator
 
Pre-war",1,Elevator
"Floorplans Available
 
Featured",1,
"No Fee
 
Floorplans Available",1,
close to tyransportation,1,
hardwood floor,1,
Granite Counter Tops,1,
"Diplomats Ok
 
Driveway",1,
movie screening room in basement and a gym,1,
Roof top deck and BBQ area,1,
Open House Sat March 30th 1:30-2:30 pm,1,
"Renovated
 
Walk In Closet",1,
Steps to the Subway,1,
Outdoor Terrace with Garden,1,
Whirlpool and Fireplace,1,
310 Greenwich St,1,
"Laundry In Unit
 
Private Outdoor Space",1,"Laundry In Unit, Private Outdoor Space"
On-site Management,1,
On-site Parking,1,
24/7 Doorman,1,
"Laundry in Unit
 
Dogs Allowed",1,"Laundry In Building, Dogs Allowed"
washer/dryer in UNIT,1,
gourmet kitchen,1,
5 fixture master bath,1,
river views,1,
floor to ceiling windows,1,
 High Speed Internet,1,
Sound Proof windows,1,
"Lounge
 
Marble Bath",1,
 Swimming Pool,1,
"Wheelchair Access
 
Outdoor Space",1,
Full-service Building,1,
Laundry on every other floor,1,Laundry In Building
close to transportation,1,
bright,1,
Private Tiled Patio,1,
Cable Ready,1,
Exposed Brick High Ceilings Hardwood Floors Elevator Natural Light in Living Area Laundry in building Stainless Steel Appliances Dishwasher Built in microwave Outdoor Space Shared backyard,1,"Exposed Brick, High Ceilings, Hardwood Floors, Elevator, Laundry In Building, Stainless Steel Appliances, Dishwasher, Built In Microwave, Outdoor Space, Shared Backyard"
Gas and hot water included,1,
High Ceilings Hardwood floors Central A/C Video Intercom Elevator Washer dryer installed Outdoor Space Balcony Terrace Roof access Skyline view Storage space Gym Private parking Eat In Kitchen Stainless Steel Appliances Dishwasher Built in microwave Cats ok Small dogs ok Hardwood Floors Bike storage Duplex Basement Stone countertops,1,"High Ceilings, Hardwood Floors, A/C, Video Intercom, Elevator, Laundry In Unit, Outdoor Space, Balcony Terrace, Roof Access, Storage Space, Gym, Parking, Stainless Steel Appliances, Dishwasher, Built In Microwave, Cats Allowed, Dogs Allowed, Hardwood Floors, Bike Storage, Duplex Basement, Stone Countertops"
High Ceilings Hardwood floors Central A/C Video Intercom Elevator Outdoor Space Roof access Storage space Private parking Eat In Kitchen Stainless Steel Appliances Cats ok Small dogs ok Washer dryer installed Hardwood Floors Storage Space Dishwasher Stone countertops Built in microwave,1,"High Ceilings, Hardwood Floors, A/C, Video Intercom, Elevator, Outdoor Space, Roof Access, Storage Space, Parking, Stainless Steel Appliances, Cats Allowed, Dogs Allowed, Laundry In Unit, Hardwood Floors, Storage Space, Dishwasher, Stone Countertops, Built In Microwave"
 Patio,1,
Tiled Bathroom,1,
Outdoor Area,1,
Large Apartment,1,
Pets allowed,1,
Storage available,1,
rooftop deck,1,
Laundry In Basement,1,Laundry In Building
Granite Countertop,1,
exposed brick walls,1,
HARDWOOD FLOOR,1,
Building: Residents Lounge,1,
Building: Door Person,1,
Building: Outdoor Space,1,
Building: Storage,1,
"Hardwood Floor
 
In Unit Laundry",1,"Laundry In Unit, Hardwood Floor"
7,1,
G,1,
N 5min in 1-5min walk,1,
R,1,
subway E,1,
W,1,
Dishwasher; Small Pet Friendly,1,
Front Yard Grill,1,
"Open Kitchen
 
Renovated",1,
Spa Jacuzzi,1,
Poolguest House,1,
Studio,1,
7 Days 16 Hours Concierge,1,
"Outdoor Space
 
Bicycle Room",1,
pet friendly,1,
granite countertops,1,
natural light,1,
R Train Nearby,1,
Central AC Hardwood floorsSS appliancesExposed brick No Fee,1,
Central A/C Stainless Steel Appliances Gym Laundry in building Outdoor Space Roof access Video Intercom Hardwood Floors High Ceilings Bike storage Dishwasher Built in microwave Stone countertops,1,"A/C, Stainless Steel Appliances, Gym, Laundry In Building, Outdoor Space, Roof Access, Video Intercom, Hardwood Floors, High Ceilings, Bike Storage, Dishwasher, Built In Microwave, Stone Countertops"
Common courtyard,1,
Bike storage,1,
Video Security,1,
Roof Deck Or Sun Deck,1,
French Doors,1,
AC Unit,1,
Wc,1,
Communal Roof Deck,1,
stainless Steel appliances,1,
parking garage,1,
Video intercom,1,
stainless steel,1,
Free Bike Storage,1,
guarantors allowed,1,
Near Buses,1,
Quiet Tree-lined Block,1,
Close To Nyu,1,
Marble Bathroom,1,
Near All,1,
Near Subway,1,
Great Location,1,
"Hardwood Floors
 
Concierge",1,
"Pre-war
 
High Speed Internet",1,
Private Yard,1,
2922 Grand Concourse,1,
 Prewar,1,
Windowed,1,
pets,1,
Central A/C High Ceilings Hardwood Floors Video Intercom Elevator Laundry in building Gym Outdoor Space Bike storage Lounge Private parking Roof access Skyline view Dishwasher Granite countertops Balcony,1,"A/C, High Ceilings, Hardwood Floors, Video Intercom, Elevator, Laundry In Building, Gym, Outdoor Space, Bike Storage, Lounge, Parking, Roof Access, Skyline View, Dishwasher, Granite Countertops, Balcony"
Big Kitchen,1,
lots of living space,1,
front balcony,1,
Washer dryer installed Outdoor Space Roof access,1,"Laundry In Unit, Outdoor Space, Roof Access"
Cats ok,1,
Small dogs ok,1,
Central A/C Doorman High Ceilings Video Intercom Elevator Hardwood Floors Natural Light in Living Area Washer dryer installed Storage Space Gym Private parking Outdoor Space Common courtyard Dishwasher Built in microwave Stone countertops Stainless Steel Appliances Roof access Skyline view Swimming Pool,1,"A/C, Doorman, High Ceilings, Video Intercom, Elevator, Hardwood Floors, Laundry In Unit, Storage Space, Gym, Parking, Outdoor Space, Common Courtyard, Dishwasher, Built In Microwave, Stone Countertops, Stainless Steel Appliances, Roof Access, Pool"
 By Owner,1,
Controlled Access,1,
 Trash Compactor,1,
New Building,1,
Bluetooth Surround Sound,1,
"High Speed Internet
 
Green Building",1,
Pets upon approval,1,
Private Parking,1,
Near Train,1,
Small Pets Ok,1,
Queen bed,1,
Modern renovations,1,
Laundry in unit,1,Laundry In Unit
Central A/C High Ceilings Hardwood Floors Video Intercom Elevator Natural Light in Living Area Washer dryer hookup Outdoor Space Balcony Roof access Eat In Kitchen Stainless Steel Appliances Dishwasher Built in microwave Stone countertops,1,"A/C, High Ceilings, Hardwood Floors, Video Intercom, Elevator, Outdoor Space, Balcony, Roof Access, Stainless Steel Appliances, Dishwasher, Built In Microwave, Stone Countertops"
Microwavem Exposed Brick,1,
Flex 2,1,
 View,1,
 Reduced Fee,1,
Building: Concierge Service,1,
Building: Roof Deck,1,
In Unit Laundry,1,Laundry In Unit
Open House Mon March 25th 6:30-7:30 pm,1,
A lot of light,1,
Large Windows,1,
Granite Counter-tops,1,
Abundant Cabinet Space,1,
dish washer,1,
Lots of Closets,1,
 Children Playroom,1,
"Hardwood Floors
 
Wheelchair Access",1,
California Walk In Closet,1,
"Backyard
 
Dishwasher",1,
"Renovated
 
Skyline View",1,
"Bicycle Room
 
City View",1,
 Lounge,1,
No fee+Free month! 1Br by waterfront-Manhattan Skyline-Bonus for Tenant,1,
Office,1,
River Views,1,
no pets,1,
Heated Bathroom Floors,1,
"Central A/C
 
Walk in Closet(s)",1,
"Reduced Fee
 
Private Outdoor Space",1,
Renovated- Bright- hardwood floor- high ceiling- close to transportation,1,
"Renovated
 
Stainless Steel Appliances",1,
Private Balcony; Pets are case-by-case,1,
5th Floor Walk-up,1,
marble bath,1,
granite counter,1,
separate kitchen,1,
Virtual doorman,1,
Central A.c,1,
Great Area,1,
Yard,1,
"Laundry in Building
 
Heat/hot Water Included",1,"Laundry In Building, Heat/hot Water Included"
A/C,1,
"Washer/dryer In Unit
 
High Speed Internet",1,
 Stainless steel appliances,1,
 Private Deck,1,
Bike Room!,1,
Stoarge room,1,
"Outdoor Space
 
Brownstone",1,
Outdoor Bike Rack,1,
doorman,1,
"Elevator
 
Laundry In Building",1,"Elevator, Laundry In Building"
"
Dogs Allowed",1,
On site super,1,
Guarantors allowed,1,
 Microwave,1,
"2 bedroom
 
balcony",1,
dining,1,
"On-site Super
 
Outdoor Space",1,
Eat-in Kitchen,1,
Steps to the E,1,
and 6 Train station - < 4 minutes walk,1,
"Marble Bath
 
Nursery",1,
"Garage
 
High Ceilings",1,
"Elevator
 
Loft",1,Elevator
SHARED OUTDOOR SPACE,1,
High-speed internet,1,
Post-War Built in 2003,1,
Mid-rise building,1,
Income Required- 40x rent,1,
Guarantors allowed at 80x rent,1,
Cats,1,
Piano Room,1,
Kids Playroom,1,
W/D in the unit,1,
Dogs,1,
Pristine Brownstone with beautiful decorative fireplace and original hardwood floors,1,
Renovated 1 bedroom with dishwasher Near EXPRESS TRAINS,1,
HARDWOOD FLOORS,1,
CHEFS KITCHEN,1,
SHOPS,1,
TRANSIT,1,
DELI'S,1,
RESTAURANTS,1,
IDEAL FOR ROOMMATES/ BEDROOMS ON OPPOSITE ENDS,1,
Outdoor Space (Shared Garden),1,
2 beds/2 baths,1,
In unit laundry,1,Laundry In Unit
Brand-new apartment building,1,
Laundry In-Unit,1,Laundry In Unit
"Laundry In Unit
 
High Speed Internet",1,"Laundry In Unit, High Speed Internet "
Built-In Microwave,1,
