address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,unit,url
153 West 85th Street,1,1,Manhattan,"['No Fee', 'Exclusive', 'Loft', 'Hardwood Floors ']",NaN,Upper West Side,2550,600,Apt 4R,https://www.renthop.com/listings/153-west-85th-street/4r/14534621
785 Ninth Avenue 3c,1,2,Manhattan,"['Exclusive', 'Pre-War', 'Featured', 'Exclusive', 'Reduced Fee', 'Cats Allowed', 'Dogs Allowed', 'Pre-War', 'brand new renovations']",0.21,Hell's Kitchen,3199,700,Apt 3C,https://www.renthop.com/listings/785-9th-ave-52nd-st-3c/3c/14123483
50 Battery Pl,2,2,Manhattan,"['No Fee', 'Exclusive', 'By Owner', 'Doorman', 'Elevator']",0.22,Battery Park City,5445,0,Apt 7F,https://www.renthop.com/listings/50-battery-pl/7f/13329563
200 East 33rd St,1,1,Manhattan,"['Exclusive', 'Doorman', 'Elevator', 'Floorplans Available', 'Featured', 'Exclusive', 'Reduced Fee', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.21,Rose Hill,3295,0,Apt 10H,https://www.renthop.com/listings/east-33rd-st/10h/14551835
41-14 20th Avenue,1,1,Queens,"['Exclusive', '', 'Featured', 'Exclusive', 'Reduced Fee', 'Cats Allowed', 'Dogs Allowed', '1.5 Bedroom', 'Stainless Steel Appliances', 'Exposed Brick']",0.59,Steinway,2100,0,Astoria Ny ...,https://www.renthop.com/listings/41-14-20th-avenue-astoria-ny/1b/14487257
150 W 92nd St,1,2,Manhattan,"['Exclusive', 'Elevator', 'Furnished', 'Featured', 'Exclusive', 'Elevator', 'Laundry In Building', 'Dishwasher', 'Marble Bath', 'Furnished', 'Stainless Steel', 'Cats Allowed', 'Dogs Allowed']",0.21,Upper West Side,3250,0,Apt 5C,https://www.renthop.com/listings/150-w-92nd-st/5c/14051357
140 Clarkson Avenue,1,2,Brooklyn,"['Exclusive', 'Elevator', 'Laundry in Unit', 'Exclusive', 'Laundry In Unit', 'Elevator', 'Cats Allowed', 'Dogs Allowed']",0.28,Flatbush,2450,0,Apt 1F,https://www.renthop.com/listings/140-clarkson-avenue/1f/14292652
155 East 92nd Street,1,3,Manhattan,"['No Fee', 'Exclusive', '', 'No Fee', 'Featured', 'Exclusive', 'Private Outdoor Space', 'Cats Allowed', 'Dogs Allowed']",0.18,Upper East Side,3695,0,Apt 3,https://www.renthop.com/listings/155-east-92nd-street/3/14522534
W 23rd St,1,1,Manhattan,"['No Fee', '', 'No Fee', 'Featured', 'Garage', 'Gym', 'Pool', 'Bike Storage', 'Community Wifi', 'Dry Cleaning', 'Laundry In Building', 'Lounge', 'Package Acceptance', 'Public Outdoor Space', 'Roof Deck', 'Verizon Fios Enabled']",0.04,Flatiron District,4600,0,NaN,https://www.renthop.com/listings/w-23rd-st/1050/13957902
439 W 22nd St,1,1,Manhattan,"['Exclusive', '', 'Featured', 'Exclusive', 'Street Parking']",0.26,Chelsea,5150,0,Apt #3,https://www.renthop.com/listings/439-w-22nd-st/3/14553490
E 49 St.,1,2,Manhattan,"['Doorman', 'Elevator', 'Hardwood Floors', 'Floorplans Available', 'Featured', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Common Outdoor Space', 'Concierge', 'Diplomats Ok', 'Garage', 'Granite Kitchen', 'Light', 'Marble Bath', 'Open View', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.27,Turtle Bay,4400,842,NaN,https://www.renthop.com/listings/e-49-st/4d/13365122
East 63rd Street,2,2,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Featured', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Terrace', 'Laundry In Building', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'City View', 'Concierge', 'Diplomats Ok', 'Garage', 'Granite Kitchen', 'Light', 'Lounge', 'Marble Bath', 'Open View', 'Renovated', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.15,Upper East Side,6400,0,NaN,https://www.renthop.com/listings/east-63rd-street/ph-d/14510628
180 1 Ave,1,4,Manhattan,"['No Fee', 'Elevator', 'No Fee', 'Featured', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'utilities included']",0.17,East Village,4200,0,Apt 3A,https://www.renthop.com/listings/1-ave/3a/12721157
41 River Terrace,2,3Flex 4 ,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Hardwood Floors', 'No Fee', 'Swimming Pool', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'Convertible', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed', 'Exclusive', 'Convertible']",0.33,Battery Park City,5700,0,Apt 1515,https://www.renthop.com/listings/41-river-terrace/1515/14339652
23-28 29 Ave,1,2,Queens,"['Exclusive', '', 'Featured', 'Exclusive']",0.26,Astoria,2000,0,Apt 2R,https://www.renthop.com/listings/23-28-29-ave/2r/14392221
63 Wall,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.08,Financial District,2727,0,NaN,https://www.renthop.com/listings/63-wall/na/14511574
153 West 85th Street,1,1,Manhattan,"['No Fee', 'Exclusive', 'Loft', 'Hardwood Floors']",NaN,Upper West Side,2550 ,600,Apt 4R,https://www.renthop.com/listings/153-west-85th-street/4r/14534621
785 Ninth Avenue 3c,1,2,Manhattan,"['Exclusive', 'Pre-War', 'Featured', 'Exclusive', 'Reduced Fee', 'Cats Allowed', 'Dogs Allowed', 'Pre-War', 'brand new renovations']",0.21,Hell's Kitchen,3199,700,Apt 3C,https://www.renthop.com/listings/785-9th-ave-52nd-st-3c/3c/14123483
50 Battery Pl,2,2,Manhattan,"['No Fee', 'Exclusive', 'By Owner', 'Doorman', 'Elevator']",0.22,Battery Park City,5445,0,Apt 7F,https://www.renthop.com/listings/50-battery-pl/7f/13329563
West 179th Street,1,3,Manhattan,"['No Fee', 'Elevator', 'No Fee', 'Featured', 'Elevator', 'Cats Allowed', 'Dogs Allowed']",0.1,Washington Heights,3350,0,NaN,https://www.renthop.com/listings/west-179th-street/3e/13016890
19 st / 1st av,2,2,Manhattan,"['No Fee', 'Elevator', 'No Fee', 'Featured', 'Parking Space', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.26,Gramercy Park,4980,0,NaN,https://www.renthop.com/listings/19-st-1st-av/12f/14479293
West 87th Street,2.5,3Flex 4 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors']",NaN,Upper West Side,10500,0,NaN,https://www.renthop.com/listings/west-87th-street/23f/14532376
Norfolk Street,1,3,Manhattan,"['Laundry in Unit', 'Hardwood Floors', 'Floorplans Available', 'Featured', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Renovated']",0.03,Lower East Side,4400,0,NaN,https://www.renthop.com/listings/norfolk-street/12/13276723
East 63rd Street,2,2,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Featured', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Terrace', 'Laundry In Building', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'City View', 'Concierge', 'Diplomats Ok', 'Garage', 'Granite Kitchen', 'Light', 'Lounge', 'Marble Bath', 'Open View', 'Renovated', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.15,Upper East Side,6400,0,NaN,https://www.renthop.com/listings/east-63rd-street/ph-d/14510628
154 E 7th St,1,1,Manhattan,"['No Fee', 'Exclusive', '', 'No Fee', 'Featured', 'Exclusive', 'Dishwasher', 'Cats Allowed', 'Dogs Allowed']",0.39,Alphabet City,3695,0,Apt 6,https://www.renthop.com/listings/154-e-7th-st/6/14229433
