address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,unit,url
Washington Street,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.06,Financial District,2539,0,NaN,https://www.renthop.com/listings/washington-street/7s/14501579
East 52nd Street,1,2Flex 3 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Doorman', 'Elevator', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Convertible', 'Eat In Kitchen', 'Granite Kitchen', 'Light', 'Marble Bath', 'Renovated', 'Vacation Rental', 'Walk In Closet', 'Convertible']",0.18,Turtle Bay,3400,0,NaN,https://www.renthop.com/listings/east-52nd-street/5b/14537634
Gold Street,1,3,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'Concierge', 'Landscaped Roof Deck', 'Swimming Pool', 'Solarium', 'Terrace', 'Club Room', 'ATM in building', 'Bike Storage', ""Children's Playroom"", 'Lobby Lounge', 'Valet Service']",0.12,Financial District,5370,0,NaN,https://www.renthop.com/listings/gold-street/801/14479233
568 Pacific Street,1,2,Brooklyn,"['Elevator', 'Elevator', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed', 'dishwasher', 'microwave']",0.04,North Slope,3225,800,Apt 4G,https://www.renthop.com/listings/568-pacific-street/4g/14475106
West 37th Street,2,3,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Featured', 'Fireplace', 'Deck', 'Balcony', 'Doorman', 'Elevator', 'Fitness Center', 'Terrace', 'Laundry In Building', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'New Construction', 'Business Center', 'Common Outdoor Space', 'Concierge', 'Diplomats Ok', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Live In Super', 'Lounge', 'Marble Bath', 'Private Deck', 'Receiving Room', 'Renovated', 'Storage', 'Valet', 'Walk In Closet']",0.21,Hell's Kitchen,4100,0,NaN,https://www.renthop.com/listings/west-37th-street/7d/14535145
1054 Bushwick Ave - Unit: 4f,2,3,Brooklyn,"['No Fee', 'Furnished', 'No Fee', 'Featured', 'Furnished', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.1,Bushwick,3900,0,...,https://www.renthop.com/listings/1054-bushwick-ave/4f/14537393
Tenth Avenue,2,4Flex 5 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Deck', 'Dining Room', 'Balcony', 'Doorman', 'Elevator', 'Fitness Center', 'Garden/patio', 'Terrace', 'Laundry In Building', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'Business Center', 'City View', 'Common Outdoor Space', 'Concierge', 'Convertible', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Live In Super', 'Lounge', 'Marble Bath', 'Microwave', 'One Month Free', 'Open Kitchen', 'Open View', 'Original Details', 'Recreational Room', 'Renovated', 'River View', 'Stainless Steel Appliances', 'Subway', 'Valet', 'Walk In Closet', 'Convertible']",0.35,Hell's Kitchen, 5200,0,NaN,https://www.renthop.com/listings/tenth-avenue/22c/14473670
W 33rd St,1,2,Manhattan,"['No Fee', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Dining Room', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Bicycle Room', 'Concierge', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Renovated', 'Vacation Rental', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.06,Chelsea,3992,0,NaN,https://www.renthop.com/listings/w-33rd-st/16a/14468136
2nd ave & 10th - NO FEE,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.2,East Village,2950,500,NaN,https://www.renthop.com/listings/2nd-ave-10th-no-fee/9c/14375737
30-43 12th Street,2,2,Queens,"['Exclusive', 'Exclusive', 'Laundry In Building', 'Cats Allowed', 'Laundry', 'Dishwasher']",0.6,Astoria,2500,900,Astoria,https://www.renthop.com/listings/30-43-12th-street-astoria-ny-11102/2l/13790084
511 West 235th Street,1,1,Bronx,"['Exclusive', 'Elevator', 'Hardwood Floors', 'Elevator', 'Laundry In Building', 'Hardwood Floors', 'City View', 'Eat In Kitchen', 'Light', 'Dogs Allowed', 'Cats Allowed', 'Exclusive']",0.35,Central Riverdale,1895,0,Apt 3C,https://www.renthop.com/listings/511-west-235th-street/3c/14489545
West 94th St,1,Studio,Manhattan,"['Doorman', 'Elevator']",NaN,Upper West Side,3515,0,NaN,https://www.renthop.com/listings/west-94th-st/na/14221307
174 Thompson St,1,1,Manhattan,"['By Owner', '', 'By Owner', 'Reduced Fee']",0.22,Greenwich Village,2875,0,Apt 2RN,https://www.renthop.com/listings/thompson-st-and-broom-st/2rn/13825558
East 46th St,1,Studio,Manhattan,"['Doorman', 'Elevator', 'Pre-War', 'Doorman', 'Elevator', 'Pre-War', 'Dogs Allowed', 'Cats Allowed']",0.2,Turtle Bay,2700,0,NaN,https://www.renthop.com/listings/east-46th-st/na/14519721
W. 42nd St. & 8th Ave,1,1,Manhattan,"['No Fee', 'No Fee']",0.07,Hell's Kitchen,2750,700,NaN,https://www.renthop.com/listings/w-42nd-st-8th-ave/3/14130986
626 1st Ave,1,1,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Hardwood Floors', 'No Fee', 'Exclusive', 'Balcony', 'Dishwasher', 'Doorman', 'Elevator', 'Garage', 'Gym', 'Pets', 'Pool', 'Washerdryer', 'Hardwood Floors', 'Microwave', 'Roof Deck', 'Smoke Free', 'Guarantor Accepted', 'Bike Storage', 'Childrens Playroom', 'Community Wifi', 'Dry Cleaning', 'Laundry In Building', 'Lounge', 'Package Acceptance', 'Public Outdoor Space', 'Verizon Fios Enabled']",0.48,Murray Hill,4611,0,Apt 42L,https://www.renthop.com/listings/626-1st-ave/42l/13744568
333 86th Street,1,1,Brooklyn,"['No Fee', 'Exclusive', 'No Fee', 'Featured', 'Exclusive', 'Cats Allowed']",0.1,Bay Ridge,2050,750,Apt 3E,https://www.renthop.com/listings/333-86th-street-3e/3e/14509619
Union Street,2,1Flex 2 ,Brooklyn,"['No Fee', 'Elevator', 'Laundry in Unit', 'Loft', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Deck', 'Dining Room', 'Elevator', 'Fitness Center', 'Loft', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Access', 'New Construction', 'Bicycle Room', 'Business Center', 'Common Outdoor Space', 'Convertible', 'Eat In Kitchen', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Nursery', 'One Month Free', 'Receiving Room', 'Renovated', 'Stainless Steel Appliances', 'Storage', 'Subway', 'Virtual Doorman', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.27,North Slope,4750,0,NaN,https://www.renthop.com/listings/union-street/3b/11680050
John street,1,1,Manhattan,"['Doorman', 'Elevator', 'Furnished', 'Furnished', 'Parking Space', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.08,Financial District,3899,0,NaN,https://www.renthop.com/listings/john-street/1219/13737212
John street,1,1,Manhattan,"['Doorman', 'Elevator', 'Furnished', 'Furnished', 'Parking Space', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.08,Financial District,3899,0,NaN,https://www.renthop.com/listings/john-street/1219/13737212
Knickerbocker Ave,2,2,Brooklyn,"['No Fee', '', 'No Fee', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed']",0.26,Bushwick,3000,0,NaN,https://www.renthop.com/listings/knickerbocker-ave/207/14553583
Gold Street,1,1,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Floorplans Available', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space']",0.13,Financial District,3538,0,NaN,https://www.renthop.com/listings/gold-street/3913/14088202
961 Kent,2,4,Brooklyn,"['No Fee', 'Exclusive', 'Laundry in Unit', 'No Fee', 'Featured', 'Exclusive', 'Laundry In Unit', 'Private Outdoor Space', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed', 'High Ceilings Hardwood Floors Video Intercom Natural Light in Living Area Outdoor Space Private backyard Stainless Steel Appliances Duplex Basement Roof access Laundry in building Exposed Brick']",0.18,Bedford-Stuyvesant,4100,0,Apt 1,https://www.renthop.com/listings/961-kent/1/14515769
577 Prospect Ave,1,2,Brooklyn,"['', 'Featured', 'Laundry In Building', 'Cats Allowed', '2 bedroom\n \n\nbalcony', 'dishwasher', 'king size bedroom', 'dining']",0.24,Windsor Terrace,3500,0,Apt 3,https://www.renthop.com/listings/577-prospect-ave/3/14520968
W 29th St,2,2,Manhattan,"['No Fee', '', 'No Fee', 'Featured', 'Garage', 'Gym', 'Community Wifi', 'Dry Cleaning', 'Laundry In Building', 'Lounge', 'Package Acceptance', 'Roof Deck', 'Verizon Fios Enabled']",0.25,Chelsea,8010,0,NaN,https://www.renthop.com/listings/w-29th-st/33d/13971889
East 79th Street,1,Studio,Manhattan,"['Pre-War', 'Hardwood Floors', 'Pre-war', 'Hardwood Floors', 'Brownstone', 'Light', 'Renovated', 'Subway', 'Dogs Allowed', 'Cats Allowed']",0.48,Upper East Side,1975,0,NaN,https://www.renthop.com/listings/east-79th-street/3e/14532477
1033 Flushing Ave,1,1,Brooklyn,"['No Fee', 'Exclusive', 'Laundry in Unit', 'No Fee', 'Featured', 'Exclusive', 'Laundry In Unit', 'Cats Allowed']",0.18,East Williamsburg,2658,750,Apt 2R,https://www.renthop.com/listings/1033-flushing-ave-2r/2r/14531341
6th Avenue,2,2,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Terrace', 'Laundry In Building', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Common Outdoor Space', 'Concierge', 'High Ceilings', 'Light', 'Live In Super', 'Lounge', 'Marble Bath\n \n\nMicrowave', 'One Month Free', 'Renovated', 'Stainless Steel Appliances', 'Storage']",0.08,Murray Hill,7292,0,NaN,https://www.renthop.com/listings/6th-avenue/14a/14553662
600 Park Place,1,3,Brooklyn,"['No Fee', '', 'No Fee', 'Cats Allowed', 'Dogs Allowed']",0.05,Crown Heights,2845,0,Apt 15,https://www.renthop.com/listings/600-park-place/15/14385899
TWO floor one bedroom with spi...,1,1,Manhattan,"['', 'Floorplans Available', 'Featured', 'Private Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Building', 'Common Outdoor Space', 'fireplace', 'super on block']",0.39,Yorkville,2350,0,NaN,https://www.renthop.com/listings/two-floor-one-bedroom-with-spiral-staircase/5d/14019427
150 East 39th Street,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building']",0.17,Murray Hill,2600,0,Apt 1206...,https://www.renthop.com/listings/150-east-39th-street/1206/14474808
West 164th Street,1,2,Manhattan,"['No Fee', 'Elevator']",0.2,Washington Heights,2400,0,NaN,https://www.renthop.com/listings/west-164th-street/34/14018616
185 Johnson Ave,1.5,1,Brooklyn,"['Exclusive', '', 'Exclusive', 'Heat/hot Water Included', 'Exposed Brick', 'Renovated']",0.16,East Williamsburg,2100,0,Apt 2L,https://www.renthop.com/listings/185-johnson-ave/2l/14478559
Murray Street,2,3Flex 4 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'Bicycle Room', 'City View', 'Concierge', 'Convertible', 'Diplomats Ok', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Open View', 'Renovated', 'Storage', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed', 'Convertible']",0.13,Tribeca,5900,0,NaN,https://www.renthop.com/listings/murray-street/45t/14369234
501 West 110th Street,1,1,Manhattan,"['Elevator', 'Elevator', 'Laundry In Building']",0.15,Morningside Heights,2595,0,Apt 4,https://www.renthop.com/listings/501-west-110th-street/4/14553440
Christopher st & Bleecker - NO...,1,1,Manhattan,"['No Fee', 'Doorman', 'Elevator', ' No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.09,West Village,5400,750,NaN,https://www.renthop.com/listings/christopher-st-bleecker-no-fee/8f/14379082
West 14th Street,1,Studio,Manhattan,"['No Fee', 'Pre-War', 'Hardwood Floors', 'No Fee', 'Pre-war', 'Dishwasher', 'Hardwood Floors', 'Brownstone', 'Granite Kitchen', 'High Ceilings', 'Light', 'Renovated', 'Subway', 'Dogs Allowed', 'Cats Allowed']",0.05,West Village,2200,0,NaN,https://www.renthop.com/listings/west-14th-street/17/14495723
"50 West 97th Street,",1,1,Manhattan,"['No Fee', 'Doorman']",0.1,Manhattan Valley,3575,0,Apt 8/K,https://www.renthop.com/listings/50-west-97th-street-8-k/8-k/14103262
East 11th Street,1,1,Manhattan,"['Laundry in Unit', 'Pre-War', 'Hardwood Floors', 'Garden/patio', 'Pre-war', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'Marble Bath', 'Microwave', 'One Month Free', 'Private Deck', 'Renovated', 'Stainless Steel Appliances', 'Dogs Allowed', 'Cats Allowed']",0.15,East Village,3688,0,NaN,https://www.renthop.com/listings/east-11th-street/1d/14549381
"50 West 97th Street,",1,1,Manhattan,"['No Fee', 'Doorman']",0.1,Manhattan Valley,3575,0,Apt 8/K,https://www.renthop.com/listings/50-west-97th-street-8-k/8-k/14103262
East 11th Street,1,1,Manhattan,"['Laundry in Unit', 'Pre-War', 'Hardwood Floors', 'Garden/patio', 'Pre-war', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'Marble Bath', 'Microwave', 'One Month Free', 'Private Deck', 'Renovated', 'Stainless Steel Appliances', 'Dogs Allowed', 'Cats Allowed']",0.15,East Village,3688,0,NaN,https://www.renthop.com/listings/east-11th-street/1d/14549381
182 East 95th Street,1,1,Manhattan,"['By Owner', 'Doorman', 'Elevator', 'By Owner', 'Doorman', 'Elevator', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed']",0.11,Upper East Side,2925,600,Apt 4N,https://www.renthop.com/listings/182-east-95th-street/4n/14412114
E 34th St,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Pre-War', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Pre-war', 'Laundry In Building', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'Concierge', 'Eat In Kitchen', 'Garage', 'Marble Bath', 'Renovated', 'Walk In Closet']",0.44,Kips Bay,2400,440,NaN,https://www.renthop.com/listings/e-34th-st/7j/14466489
Broadway,3,3,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Pre-War', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Swimming Pool', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Pre-war', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'New Construction', 'Common Outdoor Space', 'Concierge', 'Diplomats Ok', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Nursery', 'Renovated', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.07,Lincoln Square,15700,0,NaN,https://www.renthop.com/listings/broadway/6l/12826006
279 Bedford Avenue Brooklyn,2,4,Brooklyn,"['No Fee', 'By Owner', 'Laundry in Unit', 'No Fee', 'By Owner', 'Laundry In Unit', 'Private Outdoor Space', 'Cats Allowed', 'Dogs Allowed']",0.31,Williamsburg,5600,0,...,https://www.renthop.com/listings/279-bedford-ave/2l/14553336
581 Ocean Avenue,1,1,Brooklyn,"['No Fee', 'Elevator', 'No Fee', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Parking available', 'Dishwasher', 'Central Air Conditioning']",0.19,Flatbush,2600,0,Apt 4A,https://www.renthop.com/listings/581-ocean-avenue/4a/14553363
West 38th St,2,2,Manhattan,"['Doorman', 'Elevator', 'Floorplans Available', 'Swimming Pool', 'Doorman', 'Elevator', 'Dogs Allowed', 'Cats Allowed']",0.2,Garment District,5795,0,NaN,https://www.renthop.com/listings/west-38th-st/na/14519688
Barclay Street,1,1,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Swimming Pool', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'New Construction', 'Bicycle Room', 'Business Center', 'Common Outdoor Space', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Nursery', 'Receiving Room', 'Renovated', 'Stainless Steel Appliances', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.04,Tribeca,4350,0,NaN,https://www.renthop.com/listings/barclay-street/3556l/14554414
130 Wadsworth Ave,1,4,Manhattan,"['No Fee', 'Exclusive', 'No Fee', 'Featured', 'Exclusive', 'Cats Allowed', 'Dogs Allowed']",0.12,Washington Heights,3500,0,Apt 43,https://www.renthop.com/listings/130-wadsworth-ave-43/43/14264059
Christopher street @ Bleecker ...,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.09,West Village,3500,475,NaN,https://www.renthop.com/listings/christopher-street-bleecker-no-fee/3a/14515478
 Broad street KING,1,Loft,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'No Fee', 'Laundry In Unit', 'Private Outdoor Space', 'Parking Space', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.02,Financial District,2600,0,NaN,https://www.renthop.com/listings/broad-street-king/na/13751463
169 Graham Ave.,1,2,Brooklyn,"['No Fee', 'Exclusive', 'Elevator', 'Laundry in Unit', 'No Fee', 'Exclusive', 'Laundry In Unit', 'Parking Space', 'Elevator', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'Gas and hot water included']",0.19,East Williamsburg,3116,0,Apt 67,https://www.renthop.com/listings/169-graham-ave/67/14553443
West 53rd Street,1,1Flex 2 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Deck', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'Common Outdoor Space', 'Convertible', 'Eat In Kitchen', 'High Ceilings', 'Renovated', 'Storage', 'Subway', 'Valet', 'Walk In Closet', 'Convertible']",0.24,Hell's Kitchen,3250,0,NaN,https://www.renthop.com/listings/west-53rd-street/416/14555082
75 Wall Street,1,1,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Laundry in Unit', 'No Fee', 'Floorplans Available', 'Exclusive', 'Laundry In Unit', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'Swimming Pool']",0.13,Financial District,3995,0,NaN,https://www.renthop.com/listings/75-wall-street/na/14151102
146 Waverly Place,1,Studio,Manhattan,"['No Fee', 'Doorman', 'No Fee', 'Doorman', 'Prewar']",0.06,West Village,2500,0,Apt 0,https://www.renthop.com/listings/146-waverly-place/0/14333088
180 Scholes St,2,4,Brooklyn,"['No Fee', 'Exclusive', 'Elevator', 'No Fee', 'Exclusive', 'Elevator', 'Laundry In Building', 'Laundry On Floor', 'Outdoor Areas', 'Bike Storage', 'Washer/dryer Allowed', 'Dishwasher', 'Renovated', 'Storage Space', 'Parking', 'Fitness Center', 'Cats Allowed', 'Dogs Allowed']",0.13,East Williamsburg,5600,0,Apt 3H,https://www.renthop.com/listings/180-scholes-st/3h/14468841
718 West 171st St,2,4,Manhattan,"['No Fee', 'By Owner', 'Laundry in Unit', 'No Fee', 'Featured', 'By Owner', 'Laundry In Unit', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed', 'Dishwasher', 'Microwave', 'Stainless Steel Appliances', 'TV', '6 Jet Spa-Shower', 'Condo Finishes', 'Sunlight']",0.25,Washington Heights,3666,0,Apt 51,https://www.renthop.com/listings/718-west-171st-st/51/9711306
53 Leroy Street,1,1,Manhattan,"['Exclusive', 'Laundry in Unit', 'Pre-War', 'Pre-war', 'Laundry In Building', 'Laundry In Unit', 'Dishwasher', 'City View', 'Diplomats Ok', 'High Ceilings', 'Stainless Steel Appliances', 'Subway', 'Dogs Allowed', 'Cats Allowed', 'Exclusive']",0.14,West Village,3695,0,Apt 3B,https://www.renthop.com/listings/53-leroy-street/3b/14495473
W 37th St,2,2,Manhattan,"['', 'Featured', 'Garage', 'Gym', 'Bike Storage', 'Childrens Playroom', 'Community Wifi', 'Dry Cleaning', 'Laundry In Building', 'Lounge', 'Package Acceptance', 'Roof Deck', 'Verizon Fios Enabled']",0.23,Hell's Kitchen,5510,0,NaN,https://www.renthop.com/listings/w-37th-st/26e/14374985
75 Wall Street,1,1,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Laundry in Unit', 'No Fee', 'Floorplans Available', 'Exclusive', 'Laundry In Unit', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'Swimming Pool']",0.13,Financial District,3995,0,NaN,https://www.renthop.com/listings/75-wall-street/na/14151102
146 Waverly Place,1,Studio,Manhattan,"['No Fee', 'Doorman', 'No Fee', 'Doorman', 'Prewar']",0.06,West Village,2500,0,Apt 0,https://www.renthop.com/listings/146-waverly-place/0/14333088
180 Scholes St,2,4,Brooklyn,"['No Fee', 'Exclusive', 'Elevator', 'No Fee', 'Exclusive', 'Elevator', 'Laundry In Building', 'Laundry On Floor', 'Outdoor Areas', 'Bike Storage', 'Washer/dryer Allowed', 'Dishwasher', 'Renovated', 'Storage Space', 'Parking', 'Fitness Center', 'Cats Allowed', 'Dogs Allowed']",0.13,East Williamsburg,5600,0,Apt 3H,https://www.renthop.com/listings/180-scholes-st/3h/14468841
718 West 171st St,2,4,Manhattan,"['No Fee', 'By Owner', 'Laundry in Unit', 'No Fee', 'Featured', 'By Owner', 'Laundry In Unit', 'Laundry In Building', 'Cats Allowed', ' Dogs Allowed', 'Dishwasher', 'Microwave', 'Stainless Steel Appliances', 'TV', '6 Jet Spa-Shower', 'Condo Finishes', 'Sunlight']",0.25,Washington Heights,3666,0,Apt 51,https://www.renthop.com/listings/718-west-171st-st/51/9711306
53 Leroy Street,1,1,Manhattan,"['Exclusive', 'Laundry in Unit', 'Pre-War', 'Pre-war', 'Laundry In Building', 'Laundry In Unit', 'Dishwasher', 'City View', 'Diplomats Ok', 'High Ceilings', 'Stainless Steel Appliances', 'Subway', 'Dogs Allowed', 'Cats Allowed', 'Exclusive']",0.14,West Village,3695,0,Apt 3B,https://www.renthop.com/listings/53-leroy-street/3b/14495473
W 37th St,2,2,Manhattan,"['', 'Featured', 'Garage', 'Gym', 'Bike Storage', 'Childrens Playroom', 'Community Wifi', 'Dry Cleaning', 'Laundry In Building', 'Lounge', 'Package Acceptance', 'Roof Deck', 'Verizon Fios Enabled']",0.23,Hell's Kitchen,5510,0,NaN,https://www.renthop.com/listings/w-37th-st/26e/14374985
54 Noll St,1,2,Brooklyn,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'No Fee', 'Laundry In Unit', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed']",0.27,Bushwick,2983,0,Apt 466,https://www.renthop.com/listings/54-noll-st/466/14472850
NO FEE! 1 MONTH FREE! East 100...,1,2,Manhattan,"['No Fee', '', 'No Fee']",0.09,East Harlem,2895,0,NaN,https://www.renthop.com/listings/no-fee-1-month-free-east-100s-lexington-ave/2b/12584938
Atlantic Avenue,1,2,Brooklyn,"['No Fee', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Elevator', 'Garden/patio', 'Terrace', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Bicycle Room', 'Eat In Kitchen', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Renovated', 'Storage', 'Dogs Allowed', 'Cats Allowed']",0.23,Boerum Hill,4700,800,NaN,https://www.renthop.com/listings/atlantic-avenue/5fss/14079041
215 Lewis Ave,2,4,Brooklyn,"['No Fee', 'Exclusive', '', 'No Fee', 'Exclusive', 'Cats Allowed', 'Dogs Allowed']",0.48,Bedford-Stuyvesant,3750,0,Apt 1,https://www.renthop.com/listings/215-lewis-ave/1/14553385
Suydam St ,1,2,Brooklyn,"['No Fee', '', 'No Fee', 'Common Outdoor Space', 'Cats Allowed']",0.26,Bushwick,2300,0,NaN,https://www.renthop.com/listings/suydam-st/3r/14553572
West 98th Street,1,2,Manhattan,"['No Fee', 'Elevator', 'Pre-War', 'Hardwood Floors', 'No Fee', 'Elevator', 'Pre-war', 'Laundry In Building', 'Hardwood Floors', 'High Ceilings', 'Light', 'Renovated', 'Subway']",0.16,Manhattan Valley,4300,0,NaN,https://www.renthop.com/listings/west-98th-street/12h/14116123
1642 Lexington Avenue,1,3,Manhattan,"['Doorman', 'Doorman', 'Cats Allowed', 'Dogs Allowed']",0.02,East Harlem,2600,0,Apt 25,https://www.renthop.com/listings/1642-lexington-avenue/25/14554870
2240 East Tremont Ave,1,2,Bronx,"['Doorman', 'Elevator', 'Doorman', 'Elevator']",0.55,Parkchester,1800,831,Apt 1G,https://www.renthop.com/listings/2240-east-tremont-ave/1g/14554867
255 West 85th Street,2,2,Manhattan,"['Doorman', 'Elevator', 'View', 'Doorman', 'Elevator', 'Fitness Center', 'Cats Allowed', 'Dogs Allowed']",0.08,Upper West Side,6950,0,Apt PH6,https://www.renthop.com/listings/255-west-85th-street/ph6/14554866
